sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
1,1,C,,Accounting Entries,,1..*,,Root for XBRL GL. No entry made here.,gl-cor,,xBRL,,,$.Accounting Entries,AccntgEntrs,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,gl-cor:accountingEntries,/xbrli:xbrl/gl-cor:accountingEntries
1,2,C,,Document Information,,1..1,,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,Document Information,,,$.Accounting Entries.Document Information,AccntgEntrs_DocmntInfrmn,【文書情報】,この会計仕訳に関する情報の親タグ。,gl-cor:documentInfo,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo
2,3,A,,Document Type,xbrli:tokenItemType,1..1,,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Document Type,AccntgEntrs_DocmntInfrmn_DocmntType,文書種別,"・科目:科目体系ファイルの情報。 ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。 ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。 ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。 ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。 ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。 ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。 ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。 ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。 [設定値のリスト] (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)",gl-cor:entriesType,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:entriesType
3,3,A,,Audit Number,xbrli:stringItemType,0..1,,Unique identifier for this file.,gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Audit Number,AccntgEntrs_DocmntInfrmn_AdtNumbr,監査番号,このファイルの一意識別子。,gl-cor:uniqueID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:uniqueID
4,3,A,,Revises Audit Number,xbrli:stringItemType,0..1,,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Revises Audit Number,AccntgEntrs_DocmntInfrmn_RevssAdtNumbr,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,gl-cor:revisesUniqueID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:revisesUniqueID
5,3,A,,Action to Take with Previous Data,xbrli:tokenItemType,0..1,,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Action to Take with Previous Data,AccntgEntrs_DocmntInfrmn_ActnTakPrevsDat,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)",gl-cor:revisesUniqueIDAction,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:revisesUniqueIDAction
6,3,A,,Language,xbrli:QNameItemType,0..1,,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Language,AccntgEntrs_DocmntInfrmn_Langg,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,gl-cor:language,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:language
7,3,A,,Creation Date,xbrli:dateTimeItemType,0..1,,Date/time file was created.,gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Creation Date,AccntgEntrs_DocmntInfrmn_CretnDat,作成日付,ファイルが作成された日付/時間。,gl-cor:creationDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:creationDate
8,3,A,,Creator,xbrli:stringItemType,0..1,,Identifies the creator of the XBRL instance.,gl-bus,,Document Information,,,$.Accounting Entries.Document Information.Creator,AccntgEntrs_DocmntInfrmn_Cretr,作成者,ファイルの作成者の識別子。,gl-bus:creator,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:creator
9,3,A,,Document Comment,xbrli:stringItemType,0..1,,Text for entire document.,gl-cor,,Document Information,,,$.Accounting Entries.Document Information.Document Comment,AccntgEntrs_DocmntInfrmn_DocmntCommnt,文書コメント,文書全体に対する説明文。,gl-cor:entriesComment,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:entriesComment
