accountingEntries,entryHeader,entryDetail,entriesType,language,creationDate,entriesComment,periodCoveredStart,periodCoveredEnd,amount,amountCurrency,summaryReportingElement,detailMatchingElement,summaryTuplePath,summaryReportingTaxonomyIDRef,measurableQualifier
1,,,other,iso639:en,2009-02-09,Sample SRCD instance - Generic Tuple and Simple Context,2007-07-01,2008-06-30,,,,,,,
1,1,1,,,,,,,,,example:KeyElementA,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[1],example,D001
1,1,2,,,,,,,,,example:AdditionalElementA,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[1],example,Division 1
1,1,3,,,,,,,,,example:KeyElementB,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[1]/example:TupleB[1],example,John Smith
1,1,4,,,,,,,10000,iso4217:AUD,example:AdditionalElementB,,/xbrli:xbrl/example:TupleA[1]/example:TupleB[1],example,
1,1,5,,,,,,,,,example:KeyElementB,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[1]/example:TupleB[2],example,Mary Brown
1,1,6,,,,,,,50000,iso4217:AUD,example:AdditionalElementB,,/xbrli:xbrl/example:TupleA[1]/example:TupleB[2],example,
1,1,7,,,,,,,,,example:KeyElementA,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[2],example,D002
1,1,8,,,,,,,,,example:AdditionalElementA,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[2],example,Division 2
1,1,9,,,,,,,,,example:KeyElementB,gl-bus:measurableQualifier,/xbrli:xbrl/example:TupleA[2]/example:TupleB[1],example,Andrew Williams
1,1,10,,,,,,,75000,iso4217:AUD,example:AdditionalElementB,,/xbrli:xbrl/example:TupleA[2]/example:TupleB[1],example,
